Order_ID,Order_Date,Region,Sales_Channel,Customer_ID,Customer_Segment,Category,Product,Units_Sold,Unit_Price,Discount,Gross_Sales,Discount_Amount,Net_Sales,Cost,Profit
ORD100025,2023-10-04,North,Online,CUST2569,Corporate,Office Supplies,Marker,12,1061.51,0.1,12738.119999999999,1273.812,11464.307999999999,6863.33,4600.977999999999
ORD100026,2023-06-10,West,Online,CUST3844,Consumer,Office Supplies,Marker,1,971.12,0.0,971.12,0.0,971.12,578.29,392.83000000000004
ORD100027,2024-04-04,South,Online,CUST2880,Home Office,Electronics,Laptop,2,937.7,0.15,1875.4,281.31,1594.0900000000001,989.33,604.7600000000001
ORD100028,2023-11-10,West,Offline,CUST2022,Home Office,Furniture,Cabinet,8,446.56,0.0,3572.48,0.0,3572.48,2527.79,1044.69
ORD100029,2023-01-22,West,Offline,CUST2284,Corporate,Office Supplies,Marker,2,73.22,0.0,146.44,0.0,146.44,89.84,56.599999999999994
ORD100030,2023-09-10,West,Offline,CUST4394,Home Office,Office Supplies,Marker,14,152.24,0.2,2131.36,426.27200000000005,1705.0880000000002,1191.89,513.1980000000001
ORD100031,2024-07-14,North,Offline,CUST3125,Corporate,Furniture,Desk,1,413.01,0.0,413.01,0.0,413.01,227.22,185.79
ORD100032,2024-04-19,West,Offline,CUST2134,Home Office,Electronics,Mouse,6,612.25,0.05,3673.5,183.675,3489.825,2323.26,1166.5649999999996
ORD100033,2023-02-28,West,Offline,CUST3865,Consumer,Furniture,Bookshelf,1,1377.55,0.2,1377.55,275.51,1102.04,668.1,433.93999999999994
ORD100034,2024-05-25,East,Online,CUST1896,Consumer,Furniture,Chair,10,1027.69,0.1,10276.900000000001,1027.6900000000003,9249.210000000001,6459.43,2789.7800000000007
ORD100035,2024-11-12,North,Offline,CUST3699,Home Office,Office Supplies,Stapler,9,44.05,0.0,396.45,0.0,396.45,296.63,99.82
ORD100036,2024-04-20,South,Online,CUST1547,Corporate,Office Supplies,Marker,6,1379.97,0.05,8279.82,413.991,7865.829,5163.59,2702.2389999999996
ORD100037,2024-11-30,South,Offline,CUST2447,Home Office,Electronics,Monitor,10,1081.92,0.05,10819.2,540.96,10278.240000000002,6748.54,3529.7000000000016
ORD100038,2023-07-09,South,Offline,CUST3442,Corporate,Furniture,Chair,6,741.4,0.1,4448.4,444.84,4003.5599999999995,2982.18,1021.3799999999997
ORD100039,2024-11-17,North,Online,CUST4307,Home Office,Electronics,Headphones,1,697.21,0.2,697.21,139.442,557.768,346.85,210.918
ORD100040,2024-07-16,South,Online,CUST4402,Consumer,Furniture,Bookshelf,7,1400.11,0.2,9800.769999999999,1960.1539999999998,7840.615999999999,4933.77,2906.8459999999986
ORD100041,2024-07-20,North,Online,CUST4784,Corporate,Office Supplies,Notebook,3,827.26,0.2,2481.7799999999997,496.356,1985.4239999999998,1368.6,616.8239999999998
ORD100042,2023-09-01,East,Offline,CUST3373,Consumer,Furniture,Chair,1,756.65,0.1,756.65,75.665,680.985,441.71,239.27500000000003
ORD100043,2024-05-19,East,Offline,CUST1151,Consumer,Electronics,Headphones,9,1163.06,0.1,10467.539999999999,1046.754,9420.786,6630.13,2790.656
ORD100044,2023-05-11,North,Online,CUST4618,Consumer,Furniture,Bookshelf,8,891.71,0.1,7133.68,713.368,6420.312,4059.39,2360.922
ORD100045,2024-04-29,South,Offline,CUST2660,Home Office,Electronics,Keyboard,4,377.05,0.2,1508.2,301.64000000000004,1206.56,829.85,376.7099999999999
ORD100046,2024-10-08,North,Online,CUST3044,Corporate,Furniture,Desk,3,1498.32,0.0,4494.96,0.0,4494.96,3164.56,1330.4
ORD100047,2023-01-21,North,Offline,CUST1879,Consumer,Office Supplies,Notebook,2,424.77,0.1,849.54,84.95400000000001,764.586,518.82,245.76599999999996
ORD100048,2023-06-16,West,Offline,CUST4104,Corporate,Office Supplies,Notebook,2,1026.27,0.1,2052.54,205.25400000000002,1847.286,1090.71,756.576
ORD100049,2023-10-01,North,Offline,CUST3320,Corporate,Electronics,Headphones,13,737.16,0.2,9583.08,1916.616,7666.464,5008.1,2658.3639999999996
ORD100050,2024-01-23,West,Online,CUST3884,Consumer,Office Supplies,Marker,11,187.14,0.1,2058.54,205.854,1852.686,1377.09,475.596
ORD100051,2024-08-23,East,Offline,CUST2846,Home Office,Furniture,Bookshelf,3,1438.67,0.0,4316.01,0.0,4316.01,2463.79,1852.2200000000003
ORD100052,2023-11-12,West,Online,CUST4708,Consumer,Furniture,Bookshelf,1,506.92,0.2,506.92,101.38400000000001,405.536,280.24,125.29599999999999
ORD100053,2023-01-14,North,Online,CUST4996,Consumer,Office Supplies,Pen,12,987.24,0.1,11846.880000000001,1184.688,10662.192000000001,7544.83,3117.362000000001
ORD100054,2023-08-30,East,Online,CUST3416,Corporate,Electronics,Mouse,10,1107.87,0.1,11078.699999999999,1107.87,9970.829999999998,6830.07,3140.7599999999984
ORD100055,2023-12-12,West,Online,CUST2516,Home Office,Furniture,Desk,7,595.1,0.15,4165.7,624.8549999999999,3540.845,2027.22,1513.6249999999998
ORD100056,2024-07-18,North,Online,CUST4388,Corporate,Electronics,Keyboard,2,394.8,0.15,789.6,118.44,671.1600000000001,379.18,291.9800000000001
ORD100057,2023-12-06,East,Online,CUST1590,Home Office,Furniture,Desk,12,93.06,0.05,1116.72,55.836000000000006,1060.884,691.0,369.884
ORD100058,2023-04-02,West,Online,CUST1588,Consumer,Electronics,Headphones,6,1427.59,0.05,8565.539999999999,428.277,8137.262999999999,4997.92,3139.342999999999
ORD100059,2024-01-02,North,Online,CUST3620,Home Office,Electronics,Laptop,12,875.21,0.1,10502.52,1050.2520000000002,9452.268,5936.99,3515.2780000000002
ORD100060,2024-03-30,North,Online,CUST4669,Corporate,Furniture,Cabinet,14,1076.04,0.15,15064.56,2259.6839999999997,12804.876,7741.36,5063.5160000000005
ORD100061,2024-03-03,South,Offline,CUST2392,Consumer,Furniture,Bookshelf,6,705.93,0.05,4235.58,211.779,4023.801,2872.74,1151.0610000000001
ORD100062,2024-05-23,South,Online,CUST3128,Home Office,Electronics,Headphones,11,353.65,0.2,3890.1499999999996,778.03,3112.12,2240.75,871.3699999999999
ORD100063,2023-02-04,West,Offline,CUST2910,Home Office,Furniture,Cabinet,14,1493.14,0.15,20903.960000000003,3135.5940000000005,17768.366,9830.59,7937.776000000002
ORD100064,2023-07-25,West,Online,CUST2196,Corporate,Office Supplies,Paper,4,1451.26,0.0,5805.04,0.0,5805.04,4137.04,1668.0
ORD100065,2023-03-22,West,Offline,CUST1258,Home Office,Furniture,Bookshelf,4,1290.69,0.0,5162.76,0.0,5162.76,3534.79,1627.9700000000003
ORD100066,2024-07-15,North,Offline,CUST3327,Consumer,Electronics,Laptop,1,1374.61,0.0,1374.61,0.0,1374.61,880.96,493.64999999999986
ORD100067,2024-01-23,West,Offline,CUST3552,Home Office,Furniture,Chair,11,864.69,0.0,9511.59,0.0,9511.59,5388.8,4122.79
ORD100068,2023-01-02,North,Offline,CUST2757,Corporate,Furniture,Chair,6,554.84,0.15,3329.04,499.356,2829.684,1934.76,894.9240000000002
ORD100069,2024-01-25,West,Offline,CUST3606,Home Office,Electronics,Mouse,8,518.01,0.2,4144.08,828.816,3315.264,1998.02,1317.2440000000001
ORD100070,2024-07-19,North,Offline,CUST3539,Consumer,Furniture,Cabinet,13,1400.92,0.0,18211.96,0.0,18211.96,12018.72,6193.24
ORD100071,2023-04-16,North,Online,CUST2609,Consumer,Electronics,Laptop,13,1438.5,0.2,18700.5,3740.1000000000004,14960.4,8891.77,6068.629999999999
ORD100072,2024-04-21,South,Online,CUST1566,Home Office,Electronics,Headphones,10,663.53,0.05,6635.299999999999,331.765,6303.534999999999,4573.66,1729.874999999999
ORD100073,2024-12-03,East,Online,CUST4911,Home Office,Electronics,Mouse,4,912.6,0.05,3650.4,182.52,3467.88,2149.48,1318.4
ORD100074,2024-02-06,North,Online,CUST2757,Consumer,Electronics,Keyboard,1,1208.88,0.1,1208.88,120.88800000000002,1087.9920000000002,747.82,340.17200000000014
ORD100075,2024-12-30,West,Online,CUST4965,Corporate,Office Supplies,Pen,4,1055.25,0.15,4221.0,633.15,3587.85,2327.46,1260.3899999999999
ORD100076,2024-07-09,South,Online,CUST2361,Consumer,Office Supplies,Pen,2,1305.17,0.0,2610.34,0.0,2610.34,1913.03,697.3100000000002
ORD100077,2023-06-11,West,Offline,CUST3569,Home Office,Electronics,Keyboard,4,914.91,0.2,3659.64,731.928,2927.712,1743.69,1184.022
ORD100078,2023-07-21,West,Online,CUST3374,Home Office,Furniture,Chair,8,875.81,0.2,7006.48,1401.296,5605.183999999999,4153.78,1451.4039999999995
ORD100079,2023-09-27,North,Offline,CUST2196,Corporate,Office Supplies,Stapler,13,566.79,0.15,7368.2699999999995,1105.2404999999999,6263.0295,4387.05,1875.9794999999995
ORD100080,2023-09-28,North,Offline,CUST3132,Consumer,Electronics,Keyboard,3,114.55,0.05,343.65,17.1825,326.4675,225.33,101.13749999999996
ORD100081,2024-03-31,East,Offline,CUST4914,Consumer,Office Supplies,Paper,12,88.04,0.15,1056.48,158.472,898.008,644.87,253.13800000000003
ORD100082,2024-04-06,North,Offline,CUST3889,Corporate,Electronics,Keyboard,14,231.87,0.2,3246.1800000000003,649.2360000000001,2596.9440000000004,1766.79,830.1540000000005
ORD100083,2024-12-27,North,Offline,CUST2548,Consumer,Office Supplies,Marker,13,91.37,0.15,1187.81,178.17149999999998,1009.6385,577.55,432.08850000000007
ORD100084,2023-09-09,East,Offline,CUST2505,Corporate,Electronics,Laptop,5,805.04,0.05,4025.2,201.26,3823.9399999999996,2637.31,1186.6299999999997
ORD100085,2024-12-02,West,Online,CUST2568,Consumer,Office Supplies,Paper,10,608.35,0.05,6083.5,304.175,5779.325,3684.57,2094.7549999999997
ORD100086,2023-10-23,East,Offline,CUST4490,Corporate,Office Supplies,Notebook,11,44.28,0.0,487.08000000000004,0.0,487.08000000000004,321.81,165.27000000000004
ORD100087,2024-12-25,East,Offline,CUST4411,Corporate,Furniture,Table,2,37.73,0.0,75.46,0.0,75.46,47.67,27.789999999999992
ORD100088,2024-12-20,East,Online,CUST4873,Corporate,Office Supplies,Stapler,9,786.91,0.0,7082.19,0.0,7082.19,4137.57,2944.62
ORD100089,2023-12-04,South,Online,CUST3368,Home Office,Furniture,Desk,14,825.92,0.05,11562.88,578.144,10984.735999999999,7106.66,3878.075999999999
ORD100090,2023-02-22,West,Online,CUST3352,Home Office,Office Supplies,Notebook,3,60.74,0.2,182.22,36.444,145.776,82.01,63.766000000000005
ORD100091,2023-08-05,South,Online,CUST4344,Home Office,Electronics,Mouse,1,1006.63,0.0,1006.63,0.0,1006.63,564.46,442.16999999999996
ORD100092,2023-07-07,South,Online,CUST3738,Consumer,Furniture,Desk,7,193.17,0.15,1352.1899999999998,202.82849999999996,1149.3615,754.72,394.64149999999995
ORD100093,2024-01-15,North,Online,CUST4186,Corporate,Office Supplies,Paper,11,744.3,0.2,8187.299999999999,1637.46,6549.839999999999,3838.61,2711.229999999999
ORD100094,2024-05-07,East,Online,CUST3455,Consumer,Furniture,Bookshelf,5,242.43,0.1,1212.15,121.21500000000002,1090.9350000000002,736.09,354.84500000000014
ORD100095,2023-02-10,East,Offline,CUST4098,Consumer,Electronics,Mouse,9,63.4,0.0,570.6,0.0,570.6,335.62,234.98000000000002
ORD100096,2023-06-06,South,Online,CUST2261,Corporate,Electronics,Monitor,3,322.49,0.1,967.47,96.74700000000001,870.723,619.12,251.60299999999995
ORD100097,2023-01-15,North,Offline,CUST2334,Home Office,Electronics,Laptop,11,698.9,0.0,7687.9,0.0,7687.9,4453.24,3234.66
ORD100098,2023-03-06,North,Online,CUST3732,Consumer,Electronics,Laptop,1,1117.14,0.2,1117.14,223.42800000000003,893.7120000000001,570.9,322.8120000000001
ORD100099,2024-06-04,North,Online,CUST1233,Consumer,Electronics,Headphones,7,402.01,0.1,2814.0699999999997,281.407,2532.6629999999996,1628.88,903.7829999999994
ORD100100,2023-12-10,West,Offline,CUST4070,Consumer,Furniture,Table,8,1029.17,0.05,8233.36,411.66800000000006,7821.692000000001,5272.02,2549.6720000000005
ORD100101,2023-05-09,South,Online,CUST1549,Home Office,Furniture,Table,11,1294.73,0.0,14242.03,0.0,14242.03,8978.95,5263.08
ORD100102,2024-10-09,West,Online,CUST4337,Corporate,Office Supplies,Stapler,2,408.32,0.15,816.64,122.496,694.144,472.96,221.18400000000003
ORD100103,2024-04-16,North,Online,CUST4085,Corporate,Office Supplies,Paper,2,785.73,0.1,1571.46,157.14600000000002,1414.314,994.68,419.6340000000001
ORD100104,2023-03-04,North,Online,CUST3544,Consumer,Electronics,Monitor,9,617.11,0.15,5553.99,833.0985,4720.8915,2712.5,2008.3914999999997
ORD100105,2023-05-19,North,Online,CUST4388,Corporate,Electronics,Monitor,13,46.06,0.1,598.78,59.878,538.9019999999999,304.31,234.59199999999993
ORD100106,2024-05-13,East,Online,CUST1618,Home Office,Furniture,Chair,4,590.85,0.2,2363.4,472.68000000000006,1890.72,1296.07,594.6500000000001
ORD100107,2024-08-15,South,Online,CUST4710,Corporate,Electronics,Monitor,1,568.91,0.15,568.91,85.33649999999999,483.57349999999997,348.5,135.07349999999997
ORD100108,2024-01-27,East,Offline,CUST3896,Consumer,Electronics,Monitor,14,934.74,0.0,13086.36,0.0,13086.36,8453.16,4633.200000000001
ORD100109,2024-11-05,West,Online,CUST2006,Consumer,Electronics,Mouse,9,1300.31,0.05,11702.789999999999,585.1395,11117.6505,7521.16,3596.4905
ORD100110,2024-02-23,East,Offline,CUST3432,Corporate,Office Supplies,Pen,9,1009.44,0.2,9084.960000000001,1816.9920000000002,7267.968000000001,4430.7,2837.268000000001
ORD100111,2023-10-16,South,Offline,CUST2017,Consumer,Furniture,Chair,6,536.3,0.1,3217.7999999999997,321.78,2896.0199999999995,2099.33,796.6899999999996
ORD100112,2024-01-14,East,Offline,CUST1642,Home Office,Office Supplies,Notebook,6,676.06,0.0,4056.3599999999997,0.0,4056.3599999999997,2856.9,1199.4599999999996
ORD100113,2024-05-04,North,Offline,CUST1316,Home Office,Electronics,Laptop,14,1331.3,0.1,18638.2,1863.8200000000002,16774.38,11195.83,5578.550000000001
ORD100114,2023-08-19,West,Offline,CUST3304,Home Office,Electronics,Keyboard,9,960.31,0.15,8642.789999999999,1296.4184999999998,7346.371499999999,4490.98,2855.3914999999997
ORD100115,2023-02-10,West,Offline,CUST1441,Home Office,Office Supplies,Stapler,2,587.81,0.15,1175.62,176.343,999.2769999999999,637.15,362.12699999999995
ORD100116,2023-01-28,North,Offline,CUST2139,Consumer,Office Supplies,Paper,9,902.25,0.05,8120.25,406.01250000000005,7714.2375,4673.99,3040.2475000000004
ORD100117,2023-05-15,North,Online,CUST3347,Consumer,Furniture,Chair,13,968.28,0.15,12587.64,1888.1459999999997,10699.493999999999,6808.14,3891.3539999999985
ORD100118,2023-07-20,North,Online,CUST1915,Corporate,Electronics,Laptop,4,726.0,0.2,2904.0,580.8000000000001,2323.2,1300.89,1022.3099999999997
ORD100119,2023-02-02,South,Online,CUST2148,Consumer,Electronics,Keyboard,4,1298.74,0.1,5194.96,519.496,4675.464,2670.29,2005.174
ORD100120,2023-02-17,East,Offline,CUST3304,Corporate,Office Supplies,Paper,13,1220.02,0.1,15860.26,1586.026,14274.234,8470.96,5803.274000000001
ORD100121,2024-05-17,West,Online,CUST3699,Consumer,Furniture,Bookshelf,9,788.99,0.2,7100.91,1420.182,5680.728,4151.47,1529.2579999999998
ORD100122,2024-02-11,East,Offline,CUST2742,Corporate,Furniture,Cabinet,7,1437.74,0.15,10064.18,1509.627,8554.553,5501.27,3053.2829999999994
ORD100123,2024-07-27,North,Offline,CUST1047,Corporate,Electronics,Keyboard,12,1430.06,0.15,17160.72,2574.108,14586.612000000001,9424.62,5161.992
ORD100124,2024-12-28,North,Online,CUST2753,Home Office,Electronics,Mouse,10,1449.26,0.2,14492.6,2898.5200000000004,11594.08,7602.74,3991.34
ORD100125,2023-04-09,East,Offline,CUST2855,Corporate,Office Supplies,Paper,12,334.66,0.05,4015.92,200.79600000000002,3815.1240000000003,2479.97,1335.1540000000005
ORD100126,2024-11-14,West,Offline,CUST3951,Corporate,Electronics,Headphones,14,159.54,0.0,2233.56,0.0,2233.56,1266.97,966.5899999999999
ORD100127,2024-12-26,South,Online,CUST3511,Corporate,Office Supplies,Notebook,5,930.55,0.0,4652.75,0.0,4652.75,2860.04,1792.71
ORD100128,2024-06-30,East,Offline,CUST4422,Corporate,Electronics,Keyboard,8,1092.71,0.15,8741.68,1311.252,7430.428,4187.01,3243.4179999999997
ORD100129,2024-09-04,North,Online,CUST2147,Corporate,Electronics,Mouse,12,463.96,0.0,5567.5199999999995,0.0,5567.5199999999995,3139.67,2427.8499999999995
ORD100130,2024-04-06,North,Offline,CUST3079,Home Office,Electronics,Mouse,13,808.83,0.0,10514.79,0.0,10514.79,5945.53,4569.260000000001
ORD100131,2024-10-04,South,Offline,CUST3008,Corporate,Furniture,Table,1,973.55,0.0,973.55,0.0,973.55,710.19,263.3599999999999
ORD100132,2023-01-05,East,Online,CUST1055,Corporate,Electronics,Headphones,7,697.73,0.15,4884.110000000001,732.6165000000001,4151.4935000000005,2465.13,1686.3635000000004
ORD100133,2023-08-06,South,Online,CUST3201,Corporate,Electronics,Keyboard,4,814.31,0.1,3257.24,325.724,2931.5159999999996,1651.8,1279.7159999999997
ORD100134,2024-05-17,South,Online,CUST1456,Consumer,Furniture,Table,13,117.42,0.15,1526.46,228.969,1297.491,714.36,583.131
ORD100135,2024-02-02,West,Offline,CUST3334,Consumer,Furniture,Table,2,1491.18,0.15,2982.36,447.354,2535.0060000000003,1705.18,829.8260000000002
ORD100136,2024-01-28,West,Offline,CUST1036,Home Office,Electronics,Monitor,2,571.12,0.05,1142.24,57.112,1085.128,730.72,354.4079999999999
ORD100137,2023-07-26,North,Online,CUST1818,Corporate,Furniture,Cabinet,11,311.82,0.05,3430.02,171.501,3258.519,1964.85,1293.6689999999999
ORD100138,2023-01-15,East,Online,CUST2934,Corporate,Furniture,Desk,12,722.62,0.15,8671.44,1300.7160000000001,7370.724,4466.76,2903.964
ORD100139,2024-07-07,West,Online,CUST2821,Consumer,Furniture,Cabinet,9,479.61,0.2,4316.49,863.298,3453.192,2132.82,1320.3719999999998
ORD100140,2024-04-05,North,Offline,CUST2947,Corporate,Furniture,Bookshelf,6,590.33,0.2,3541.9800000000005,708.3960000000002,2833.5840000000003,1759.14,1074.4440000000002
ORD100141,2024-11-21,East,Offline,CUST4957,Home Office,Office Supplies,Paper,11,846.49,0.05,9311.39,465.5695,8845.8205,6239.85,2605.9704999999994
ORD100142,2024-07-28,North,Online,CUST1256,Corporate,Electronics,Mouse,4,421.26,0.05,1685.04,84.25200000000001,1600.788,1181.25,419.538
ORD100143,2023-08-29,West,Online,CUST3226,Home Office,Office Supplies,Stapler,2,1001.39,0.1,2002.78,200.27800000000002,1802.502,1203.43,599.0719999999999
ORD100144,2024-07-17,North,Online,CUST4620,Consumer,Electronics,Mouse,7,650.44,0.05,4553.08,227.654,4325.4259999999995,2718.13,1607.2959999999994
ORD100145,2023-04-06,East,Offline,CUST4326,Home Office,Furniture,Desk,9,130.8,0.0,1177.2,0.0,1177.2,716.87,460.33000000000004
ORD100146,2024-04-29,East,Online,CUST1508,Home Office,Office Supplies,Stapler,2,1330.95,0.15,2661.9,399.285,2262.6150000000002,1619.8,642.8150000000003
ORD100147,2024-02-11,North,Online,CUST4746,Home Office,Furniture,Bookshelf,4,718.69,0.15,2874.76,431.214,2443.5460000000003,1387.97,1055.5760000000002
ORD100148,2023-08-19,East,Online,CUST1021,Home Office,Furniture,Cabinet,14,1384.78,0.15,19386.92,2908.0379999999996,16478.881999999998,10491.07,5987.811999999998
ORD100149,2024-10-16,North,Offline,CUST4878,Home Office,Furniture,Bookshelf,1,574.06,0.1,574.06,57.406,516.654,352.91,163.74399999999997
ORD100150,2023-06-20,East,Offline,CUST3123,Home Office,Electronics,Laptop,1,816.25,0.1,816.25,81.625,734.625,440.86,293.765
ORD100151,2024-06-24,North,Online,CUST1719,Home Office,Furniture,Chair,3,1310.97,0.0,3932.91,0.0,3932.91,2268.95,1663.96
ORD100152,2023-02-05,North,Offline,CUST1460,Home Office,Electronics,Laptop,1,696.01,0.15,696.01,104.4015,591.6085,402.51,189.09850000000006
ORD100153,2024-06-08,North,Online,CUST3008,Home Office,Electronics,Monitor,4,951.53,0.0,3806.12,0.0,3806.12,2549.75,1256.37
ORD100154,2023-06-09,South,Online,CUST2202,Consumer,Furniture,Bookshelf,14,374.35,0.05,5240.900000000001,262.045,4978.8550000000005,3355.04,1623.8150000000005
ORD100155,2024-11-29,East,Online,CUST2406,Home Office,Electronics,Headphones,6,361.0,0.15,2166.0,324.9,1841.1,1372.8,468.29999999999995
ORD100156,2023-08-31,West,Online,CUST2061,Home Office,Office Supplies,Stapler,13,816.26,0.0,10611.38,0.0,10611.38,6521.75,4089.629999999999
ORD100157,2023-03-27,North,Offline,CUST2995,Corporate,Electronics,Headphones,5,921.72,0.1,4608.6,460.86000000000007,4147.740000000001,3099.04,1048.7000000000007
ORD100158,2024-07-31,South,Online,CUST4192,Corporate,Furniture,Cabinet,9,985.39,0.1,8868.51,886.8510000000001,7981.659,4464.71,3516.9489999999996
ORD100159,2024-11-12,West,Online,CUST3037,Corporate,Furniture,Table,13,1154.12,0.1,15003.559999999998,1500.3559999999998,13503.203999999998,7535.9,5967.303999999998
ORD100160,2024-07-10,North,Offline,CUST2939,Home Office,Office Supplies,Stapler,14,1384.26,0.0,19379.64,0.0,19379.64,13986.88,5392.76
ORD100161,2024-07-27,West,Online,CUST3678,Consumer,Office Supplies,Pen,12,364.01,0.0,4368.12,0.0,4368.12,2683.74,1684.38
ORD100162,2024-10-07,South,Offline,CUST3049,Consumer,Electronics,Keyboard,11,931.1,0.0,10242.1,0.0,10242.1,6364.97,3877.13
ORD100163,2023-01-28,West,Online,CUST2745,Corporate,Electronics,Keyboard,2,667.48,0.2,1334.96,266.992,1067.968,598.31,469.65800000000013
ORD100164,2024-09-11,North,Online,CUST3984,Corporate,Office Supplies,Stapler,2,138.4,0.15,276.8,41.52,235.28,129.52,105.75999999999999
ORD100165,2024-07-09,West,Online,CUST3359,Home Office,Furniture,Bookshelf,12,683.07,0.2,8196.84,1639.3680000000002,6557.472,4436.68,2120.7919999999995
ORD100166,2023-12-06,West,Online,CUST2232,Consumer,Furniture,Desk,3,1187.08,0.2,3561.24,712.248,2848.9919999999997,1864.78,984.2119999999998
ORD100167,2023-11-27,North,Offline,CUST2178,Consumer,Office Supplies,Notebook,4,123.29,0.05,493.16,24.658,468.502,325.86,142.642
ORD100168,2024-10-01,South,Online,CUST1762,Corporate,Office Supplies,Notebook,9,911.3,0.05,8201.699999999999,410.085,7791.614999999999,4639.9,3151.7149999999992
ORD100169,2024-05-20,South,Offline,CUST1683,Consumer,Furniture,Bookshelf,11,618.06,0.1,6798.66,679.866,6118.794,4402.43,1716.3639999999996
ORD100170,2023-12-14,West,Offline,CUST3363,Corporate,Furniture,Chair,6,982.83,0.2,5896.9800000000005,1179.3960000000002,4717.584000000001,2842.07,1875.5140000000006
ORD100171,2024-04-17,East,Offline,CUST3355,Corporate,Electronics,Mouse,13,1232.95,0.05,16028.35,801.4175,15226.9325,9738.88,5488.052500000002
ORD100172,2023-08-19,West,Online,CUST2528,Home Office,Office Supplies,Notebook,9,814.76,0.2,7332.84,1466.5680000000002,5866.272,3658.39,2207.882
